"District","DisCode","Year","enrollment","firstlang_per","ell_per","swd_per","highneeds_per","ecodis_per","black_per","asian_per","hispanic_per","white_per","native_per","hawaiiPI_per","multiNonHispanic_per"
"Orleans","02240000",2021,175,14.9,8.6,19.3,44.3,29.1,3.4,1.1,12.6,78.3,0.6,0,4
"Oxford","02260000",2021,1458,1,0.3,17.4,45.6,36.7,1.8,1,11.8,80.7,0.1,0.1,4.4
"Palmer","02270000",2021,1188,5.6,4,18.3,58.5,50.8,3.3,2.6,12.8,76.5,0.1,0,4.7
"Pathfinder Regional Vocational Technical","08600000",2021,610,0.2,0.2,26.9,54.4,38.2,0.7,0,3.4,93.1,0,0,2.8
"Paulo Freire Social Justice Charter School (District)","35010000",2021,263,28.1,6.5,25.9,87.5,84,8.4,0.4,89,1.9,0,0.4,0
"Peabody","02290000",2021,5776,15.1,9.3,19.9,52.1,37.4,3.9,2,18.7,73,0.2,0,2.2
"Pelham","02300000",2021,107,10.3,1.9,21.5,31.8,14,3.7,4.7,15,71,0,0,5.6
"Pembroke","02310000",2021,2599,1.9,1.4,15.2,27.3,14.9,0.5,0.9,1.7,94.3,0.1,0,2.4
"Pentucket","07450000",2021,2224,0.8,0.4,21.3,29.4,13,0.4,1.2,5.8,90.2,0,0,2.3
"Petersham","02340000",2021,123,1.6,1.6,21.8,46.8,30.1,0,0,8.1,88.6,0,0,3.3
"Phoenix Academy Public Charter High School Lawrence (District)","35180000",2021,159,64.2,32.7,23.3,93.7,81.1,0,0,93.7,6.3,0,0,0
"Phoenix Academy Public Charter High School Springfield (District)","35080000",2021,208,29.8,24,28.8,91.8,88.5,12.5,0.5,78.4,5.8,0.5,0.5,1.9
"Phoenix Charter Academy (District)","04930000",2021,221,81,63.8,11.3,92.3,54.3,11.3,0,82.8,4.5,1.4,0,0
"Pioneer Charter School of Science (District)","04940000",2021,794,65.5,17.4,8.9,65.5,42.3,24.9,6.4,29,35.8,1.5,0,2.4
"Pioneer Charter School of Science II (PCSS-II) (District)","35060000",2021,370,48.4,20.3,13,59.7,30.8,35.4,12.7,25.1,24.1,0.5,0,2.2
"Pioneer Valley","07500000",2021,631,1.1,0.2,22,42.8,28.8,0.6,0.6,1.3,93,0,0.5,4
"Pioneer Valley Chinese Immersion Charter (District)","04970000",2021,560,22.5,3,10.7,33.4,23.4,10.2,19.6,8.9,48.4,0,0.2,12.7
"Pioneer Valley Performing Arts Charter Public (District)","04790000",2021,391,0,0,21.5,44.5,33,8.4,1,19.9,63.2,0,0.3,7.2
"Pittsfield","02360000",2021,5012,8.6,4.9,22.2,66.4,58.6,11.6,1.3,16.4,60.6,0.3,0,9.7
"Plainville","02380000",2021,623,6.4,4.3,19.3,38,22,5.3,3,8,80.1,0,0,3.5
"Plymouth","02390000",2021,7085,5,2.8,20,40,27,2.2,1,6.6,85.1,0.2,0,4.8
"Plympton","02400000",2021,209,1,0.5,17.4,30.5,15.8,0,0,1,98.6,0,0,0.5
"Prospect Hill Academy Charter (District)","04870000",2021,1107,44.1,14.5,14.2,69.2,53.1,56.9,7.2,20.9,10.8,0,0.2,4
"Provincetown","02420000",2021,133,24.1,21.1,18,62.4,41.4,25.6,0.8,14.3,48.9,0,0,10.5
"Quabbin","07530000",2021,2095,1.3,0.5,19.1,41.1,31,0.9,1.2,5.9,89.6,0.1,0.1,2.1
"Quaboag Regional","07780000",2021,1161,2.8,1.4,18.6,51.1,41.9,0.8,0.3,7.1,87.4,0.1,0,4.4
"Quincy","02430000",2021,9480,44.7,15.7,19.7,61.4,39,6.9,40.9,8.4,39.6,0.2,0.3,3.7
"Ralph C Mahar","07550000",2021,619,2.4,0.5,25.2,56.7,46.8,1.6,1.8,7.9,84.5,0.2,0.2,3.9
"Randolph","02440000",2021,2660,37.1,16.1,22.3,71.8,54,49.4,17.6,16.2,11.8,0.3,0.1,4.6
"Reading","02460000",2021,3951,2.5,1.1,17.8,24.6,8.9,2.5,5.3,3.3,86.2,0.1,0,2.5
"Revere","02480000",2021,7166,68.6,22.9,17,72.9,56.1,3.5,4.4,57.7,32.2,0.3,0,1.8
"Richmond","02490000",2021,152,1.3,0,16.4,36.2,26.3,1.3,0,7.2,87.5,0,0,3.9
"Rising Tide Charter Public (District)","04830000",2021,666,2.1,0.5,19.8,32.1,16.4,0.9,1.4,3.8,86,1.1,0,6.9
"River Valley Charter (District)","04820000",2021,288,0.7,0,16,22.2,8,0.3,1.4,5.2,88.2,0.3,0,4.5
"Rochester","02500000",2021,476,0.4,0.4,19.1,32.6,18.5,0.2,0,2.5,92.9,0,0,4.4
"Rockland","02510000",2021,2179,14.6,8,18.6,52.3,41.4,6.3,1.3,17.3,70.5,0,0,4.6
"Rockport","02520000",2021,762,1.3,0.7,22,37.5,20.7,0.7,1.8,3.7,90.7,0,0,3.1
"Rowe","02530000",2021,63,0,0,33.3,58.7,38.1,0,0,4.8,81,0,0,14.3
"Roxbury Preparatory Charter (District)","04840000",2021,1596,39,20.2,14.8,81.6,69.5,56.2,0.6,40.3,1.3,0.3,0.1,1.3
"Sabis International Charter (District)","04410000",2021,1557,5.4,4,15.3,57.7,46.8,28,3.7,45.2,17.7,0,0,5.5
"Salem","02580000",2021,3734,32.2,13.7,22.9,67.4,55,6.7,2.7,43.5,42.6,0,0,4.5
"Salem Academy Charter (District)","04850000",2021,495,26.1,3.4,17.6,51.9,38.4,11.1,5.9,44,37.2,0,0,1.8
"Sandwich","02610000",2021,2326,2,0.9,19.4,34.1,20,1.2,2.5,3.3,91.2,0.6,0.2,1
"Saugus","02620000",2021,2297,20.6,6.3,18.6,51.7,36.8,5.3,5.2,20.6,65.2,0.8,0.3,2.6
"Savoy","02630000",2021,44,0,0,20.5,52.3,43.2,2.3,0,2.3,95.5,0,0,0
"Scituate","02640000",2021,2851,2.3,0.4,14.5,23.2,11.1,2.6,0.6,2.2,92.2,0.1,0,2.2
"Seekonk","02650000",2021,2047,7.5,2.7,16.8,30.7,15.3,2.4,3.4,6.1,84,0,0,4
"Sharon","02660000",2021,3493,26.7,3.1,14.4,26.9,9.8,4.9,30.1,5.9,52.8,0.1,0.1,6.2
"Shawsheen Valley Regional Vocational Technical","08710000",2021,1308,1.3,0.1,29.7,39.8,16.1,0.9,0.8,5.8,90.4,0.4,0,1.6
"Sherborn","02690000",2021,391,7.7,3.1,14.1,20.7,4.6,3.1,8.4,4.6,78,0,0,5.9
"Shrewsbury","02710000",2021,5974,36.1,2.7,14.3,29.9,13.6,3.3,33.4,9.2,49.4,0.5,0,4.3
"Shutesbury","02720000",2021,112,0.9,0,16.1,41.1,35.7,1.8,0.9,8.9,83.9,0.9,0,3.6
"Silver Lake","07600000",2021,1698,1.6,0.9,17,30.8,18.7,1.3,1,2.7,93.5,0.4,0,1.1
"Sizer School: A North Central Charter Essential (District)","04740000",2021,366,3,0.8,27,56.3,41.8,6.3,1.4,25.7,63.4,0.5,0,2.7
"Somerset","02730000",2021,1606,3.2,1.2,18.6,38.7,26.7,0.6,1.7,4.9,89.5,0.2,0,3.1
"Somerset Berkley Regional School District","07630000",2021,1007,1.3,0.1,17.7,29.8,17.8,1,0.5,4.3,92.6,0.2,0.1,1.4
"Somerville","02740000",2021,4691,48.2,18.3,19.5,59.8,44.7,8.6,6.1,40.8,39.7,0.1,0.1,4.6
"South Hadley","02780000",2021,1763,7.7,4.3,20.6,42.9,29.7,1.8,2,15.6,77.5,0.1,0,3.1
"South Middlesex Regional Vocational Technical","08290000",2021,817,39.9,18.2,39.7,77.4,51.2,4.9,1.3,41.1,47.5,2.1,0,3.1
"South Shore Charter Public (District)","04880000",2021,1009,38.1,6.7,19.1,53.1,28.7,35.1,5.6,5.9,46.9,0.4,0,6
"South Shore Regional Vocational Technical","08730000",2021,646,1.9,0.8,27.1,44.4,23.8,1.7,1.1,4.6,91.2,0.3,0,1.1
"Southampton","02750000",2021,448,2,1.8,22,35.6,16.5,0.2,1.6,6.9,87.9,0,0,3.3
"Southborough","02760000",2021,1216,15.8,6.9,15.1,27.9,7.2,1.7,19.4,5.8,67.7,0.2,0,5.3
"Southbridge","02770000",2021,1866,35.3,19.8,21.4,84.8,77.2,1.5,1.3,62.8,32.2,0.2,0.1,2
"Southeastern Regional Vocational Technical","08720000",2021,1527,21,3.7,13.8,51.2,38.6,35.8,1.7,14.1,42.6,0,0,5.7
"Southern Berkshire","07650000",2021,645,5.1,2.5,15.8,46,35.5,1.2,0.2,9,84.3,0.6,0,4.7
"Southern Worcester County Regional Vocational Technical","08760000",2021,1171,3.2,0.9,13.7,35.2,25.9,0.9,0.7,11.4,85.1,0.1,0,1.8
"Southwick-Tolland-Granville Regional School District","07660000",2021,1393,5.8,3.7,17.2,38.7,27.3,1.9,1,5.2,89.2,0.4,0,2.3
"Spencer-E Brookfield","07670000",2021,1331,6.1,3.7,23.9,55.9,44,2.6,1.4,15.9,76,0.2,0,3.9
"Springfield","02810000",2021,24239,29.8,16.3,24.7,86.5,81.8,18.6,2.1,67.9,9.1,0.2,0,2.1
"Springfield Preparatory Charter School (District)","35100000",2021,378,26.5,16.9,19.3,79.4,69.8,16.9,2.4,69.8,9,0,0,1.9
"Stoneham","02840000",2021,2254,12.5,3.5,20.3,36,19.3,2.2,5.8,9.6,78,0.3,0,4
"Stoughton","02850000",2021,3386,18.4,7.3,17,51,38.5,24.7,6.1,14.4,48.7,0.1,0.3,5.6
"Sturbridge","02870000",2021,792,3.8,3.8,14.2,30,18.1,1,1.5,7.1,85,0.3,0,5.2
"Sturgis Charter Public (District)","04890000",2021,853,9.8,0.9,13.7,27.3,15.5,2.5,2.9,4.5,86.9,0.5,0.1,2.7
"Sudbury","02880000",2021,2521,7.7,2.2,17.7,24.6,6.2,3.1,9.8,5.4,73.8,0,0.2,7.6
"Sunderland","02890000",2021,184,14.7,10.3,21.2,51.6,37,3.3,9.2,10.9,67.9,0,0,8.7
"Sutton","02900000",2021,1279,2.9,2,18.1,30.1,15.2,1.2,1.5,4,89.6,0,0.1,3.7
"Swampscott","02910000",2021,2132,15.4,6.1,17.5,35.9,18.6,3.9,2.6,12.1,78.2,0.2,0,3
"Swansea","02920000",2021,2016,1.9,0.4,12.8,31.1,23,0.9,1.2,2.5,93.6,0.2,0,1.6
"Tantasqua","07700000",2021,1771,1.6,0.7,12.3,31.4,23,1.4,1,6.1,87.7,0.2,0.1,3.5
"Taunton","02930000",2021,7735,11.4,5.6,19.9,59.7,50.6,19.2,1.1,13.5,60.2,0.3,0.2,5.6
"TEC Connections Academy Commonwealth Virtual School District","39020000",2021,2514,4.7,1.1,17.9,53,43.7,8,2.7,17.9,64,0.2,0.3,6.8
"Tewksbury","02950000",2021,3182,6.6,1.8,18.1,33.3,17.8,3.8,4.1,6.3,83.8,0.1,0.1,1.8
"Tisbury","02960000",2021,289,46.7,28,17.3,63.7,42.2,6.2,0.7,38.4,48.4,1,0,5.2
"Topsfield","02980000",2021,586,0.9,0.2,17.5,20.9,4.3,0.2,1.9,3.9,90.4,0.9,0,2.7
"Tri-County Regional Vocational Technical","08780000",2021,953,0.1,0,31.6,45.1,19.9,1,0.7,7.9,85.4,0.1,0.1,4.7
"Triton","07730000",2021,2176,3.7,1.1,17.4,37.4,25.1,1.6,2.3,3.8,90,0.1,0.2,1.9
"Truro","03000000",2021,113,0.9,0.9,17.4,46.1,31,8,0,7.1,67.3,0,0,17.7
"Tyngsborough","03010000",2021,1561,9.4,4.2,18,34.8,18.6,4.5,8.6,7,76.1,0.3,0,3.5
"UP Academy Charter School of Boston (District)","04800000",2021,349,50.4,24.4,27.5,90.3,79.1,44.7,3.2,47.9,2.9,0.3,0.6,0.6
"UP Academy Charter School of Dorchester (District)","35050000",2021,685,47.3,33.7,14.9,87.6,74.5,55.2,0.3,40.9,1.2,0.1,0.6,1.8
"Up-Island Regional","07740000",2021,398,10.1,5,19.3,39.7,23.9,0.8,0.8,9.3,77.6,4.3,0,7.3
"Upper Cape Cod Regional Vocational Technical","08790000",2021,722,0,0,25.2,49.2,32.7,3.2,1.1,4.2,83.2,1,0.1,7.2
"Uxbridge","03040000",2021,1639,5,2.2,17.6,37.1,25.1,1.2,1.3,6.5,88.2,0.5,0.1,2.2
"Veritas Preparatory Charter School (District)","04980000",2021,419,15.5,4.5,20,83.8,77.6,20,1.7,70.2,4.5,0.7,0.2,2.6
"Wachusett","07750000",2021,6584,4.1,1.7,15.2,27.9,13.8,2.5,3.2,6.5,85.2,0.1,0,2.5
"Wakefield","03050000",2021,3309,6.1,2.4,16.5,28.6,13.8,2.8,3.6,7.7,82.5,0.2,0.2,3.1
"Wales","03060000",2021,124,0.8,0.8,24.2,54.8,43.5,1.6,0,0.8,94.4,0.8,0,2.4
"Walpole","03070000",2021,3655,10.6,3.5,14,27,13.1,3.5,6.6,6.4,79.8,0.3,0.1,3.3
"Waltham","03080000",2021,5507,51.3,22.6,16.3,57.7,40.7,9.2,5.3,42.6,40.4,0.1,0,2.5
"Ware","03090000",2021,1140,2.5,1.4,22.1,63.8,57.4,1.5,0.4,7.8,86.1,0.2,0.3,3.7
"Wareham","03100000",2021,1988,2.7,1.4,25,65,57.5,7.4,0.9,9,68.6,1.3,0.1,12.7
"Watertown","03140000",2021,2526,39.1,14.2,19.8,50.4,32.6,4.3,7.2,19.1,63.6,0.4,0,5.3
"Wayland","03150000",2021,2700,13.1,3.5,17.9,26.7,6.6,5,15.4,5,68,0,0.1,6.5
"Webster","03160000",2021,1682,16.2,10.8,22.8,71.4,62.4,6.1,1.7,32.6,52.9,0.1,0.1,6.6
"Wellesley","03170000",2021,4432,8,1.9,17.1,25.4,6.9,3.8,15.5,5.4,67.9,0,0,7.3
"Wellfleet","03180000",2021,103,1.9,1,16.3,33.7,27.2,0,1,3.9,81.6,0,0,13.6
"West Boylston","03220000",2021,888,7.3,4.2,17.8,38.4,24.9,3.7,2,11.5,78.3,0.1,0.2,4.2
"West Bridgewater","03230000",2021,1374,2.5,1.5,10.6,27.8,19.4,6.3,1,5.2,82.3,0.1,0.1,4.9
"West Springfield","03320000",2021,3913,30.1,9.9,18.5,59.9,50.6,3.6,8.8,21.2,62.9,0.1,0,3.4
"Westborough","03210000",2021,3825,31.6,11.4,16,37.6,12.5,2.1,35.2,8.3,51.1,0.1,0.1,3.2
"Westfield","03250000",2021,4931,12.3,5.1,20.4,52.9,42.3,2.3,3.2,17.4,73.6,0.1,0,3.5
"Westford","03260000",2021,4714,12.7,1.7,15.5,24,7.3,1.3,29.1,2.5,62.8,0.1,0,4.1
"Westhampton","03270000",2021,104,0,0,23.1,40.4,25,0,0,5.8,91.3,0,0,2.9
"Weston","03300000",2021,1906,9.1,4.2,17,25.9,6.1,6.7,17.4,6.3,64.1,0.1,0.1,5.4
"Westport","03310000",2021,1355,2.4,1.3,18.6,39.9,27.5,0.5,0.4,4.1,91.1,0.1,0,3.8
"Westwood","03350000",2021,2952,5.9,0.8,18.3,23.9,6.2,2.1,11.8,4.9,76.3,0,0,4.8
"Weymouth","03360000",2021,5585,14.4,5.5,21.1,48.9,35,7.3,6.9,12.3,68.6,0.2,0.1,4.6
"Whately","03370000",2021,116,2.6,2.6,10.3,27.6,19,0.9,0,3.4,94,0,0,1.7
"Whitman-Hanson","07800000",2021,3583,3.5,1.9,15.8,34,22.5,3.2,1.4,5.9,85.9,0.5,0.1,3
"Whittier Regional Vocational Technical","08850000",2021,1249,7.4,1.3,19.1,49.6,34.4,2.9,1.5,25.5,66.3,0.5,0,3.4
"Williamsburg","03400000",2021,119,1.7,0.8,19,38.8,28.6,3.4,0,5,89.9,0,0,1.7
"Wilmington","03420000",2021,2830,3.3,0.8,16.9,26.3,11.9,1.5,6,4.5,84,0.1,0,4
"Winchendon","03430000",2021,1178,2.2,0.8,22,58.2,49.7,1.9,1.7,6.5,86.1,0.1,0.3,3.6
"Winchester","03440000",2021,4496,19.3,3,16.4,25.2,5.7,1.2,18.9,3.4,70,0.2,0,6.3
"Winthrop","03460000",2021,1865,21.7,7.3,15.2,46,31.9,1.3,0.6,16.1,80.3,0.1,0.1,1.4
"Woburn","03470000",2021,4279,20.7,8,17.6,47,32.2,7.2,7.6,11.9,69.1,0.6,0.2,3.6
"Worcester","03480000",2021,23986,58.7,30.2,21.2,80.6,64.3,17.1,6.5,43.1,28.8,0.2,0,4.4
"Worthington","03490000",2021,63,0,0,23.8,50.8,36.5,0,0,4.8,92.1,1.6,0,1.6
"Wrentham","03500000",2021,862,3.5,2.1,18.9,27,10.3,1.6,2.9,5.1,85.3,0.3,0.1,4.6
