"District","DisCode","Year","enrollment","firstlang_per","ell_per","swd_per","highneeds_per","ecodis_per","black_per","asian_per","hispanic_per","white_per","native_per","hawaiiPI_per","multiNonHispanic_per"
"Winthrop","03460000",2020,1965,22.4,8.7,15,42.5,26.7,1.3,0.9,16.2,80.5,0.1,0,1.1
"Woburn","03470000",2020,4451,20.4,9,17.5,45.4,28.3,7,7.3,12.2,69.6,0.5,0.1,3.3
"Worcester","03480000",2020,25044,58.5,31.7,20.9,80.1,59.7,16.9,6.4,43.1,29.1,0.2,0,4.2
"Worthington","03490000",2020,88,0,0,19.3,42,30.7,0,0,4.5,89.8,2.3,0,3.4
"Wrentham","03500000",2020,952,3.3,2.1,18.1,25.9,10,1.4,2.7,5,85.3,0.4,0.1,5
"Abby Kelley Foster Charter Public (District)","04450000",2021,1425,66.8,13.7,12.1,62.2,48,54.1,3.4,19.4,17.3,0.6,0,5.1
"Abington","00010000",2021,2117,14.1,7.7,15.8,41.4,29.7,4.8,2.5,10.9,79.2,0.6,0.1,1.9
"Academy Of the Pacific Rim Charter Public (District)","04120000",2021,540,32,6.3,25.6,68.5,48.1,62.8,0.7,28.3,6.7,0,0.2,1.3
"Acton-Boxborough","06000000",2021,5207,21.5,5.2,15,27.8,8.1,3.1,33.7,6.2,51.7,0.1,0.1,5.1
"Acushnet","00030000",2021,910,1.1,0.7,13.7,38,28.4,0.9,0.9,4.4,89.6,0.2,0,4.1
"Advanced Math and Science Academy Charter (District)","04300000",2021,966,24.6,1.3,5.8,24.2,10.4,1.9,17.3,7,67.8,0,0,6
"Agawam","00050000",2021,3508,12.5,5.1,17.1,46.6,35,2.2,3.3,10.3,81,0,0,3.2
"Alma del Mar Charter School (District)","04090000",2021,797,43.8,31.1,17.3,81.6,65.6,13.7,0.1,60.5,20.7,0.8,0,4.3
"Amesbury","00070000",2021,1852,4,2.1,22.2,42,28.3,2.2,1.2,9.9,82.3,0.2,0.1,4.2
"Amherst","00080000",2021,1029,29.2,13.2,22.1,50.3,33.8,10,11.9,22.1,48.7,0.5,0.2,6.7
"Amherst-Pelham","06050000",2021,1283,19.9,7.4,22.2,43.7,29.7,8.1,9.2,18.2,55,0,0,9.4
"Andover","00090000",2021,5574,17.3,3.1,20.4,31.8,9.8,2.7,19.2,7.7,66.6,0.1,0.1,3.6
"Argosy Collegiate Charter School (District)","35090000",2021,571,26.4,19.3,20.1,79.2,66.7,13.5,2.3,25.4,52.9,0.5,0,5.4
"Arlington","00100000",2021,5755,11.9,4.1,15.7,26.4,9.1,3.4,13.1,6.2,69.9,0.1,0.1,7.3
"Ashburnham-Westminster","06100000",2021,2194,4,1.5,19.4,34,19.9,1.2,1,5.1,89.7,0.1,0,3
"Ashland","00140000",2021,2729,27.6,6,17.3,34.9,17.8,2.9,16.3,13.6,63.4,0.4,0,3.4
"Assabet Valley Regional Vocational Technical","08010000",2021,1149,20.9,5,25,54.7,33.1,1.7,0.5,21.9,73.5,0.2,0,2.3
"Athol-Royalston","06150000",2021,1425,5.4,2.9,24,64.6,55.4,1.8,1,10.4,82.9,0.1,0,3.9
"Atlantis Charter (District)","04910000",2021,1296,27.7,14.1,13.4,61.7,50.5,5.4,2.2,14.8,73.4,0.1,0.1,4.1
"Attleboro","00160000",2021,5752,14.2,5.9,17.5,46,33,6.8,4.6,15.6,66.4,0.2,0.1,6.4
"Auburn","00170000",2021,2518,9.1,2.2,10.8,32.3,22.2,2.5,4.6,9.5,80.1,0.1,0,3.2
"Avon","00180000",2021,683,9.1,4.8,19.9,49.6,36.3,29.4,4.5,12.6,46.3,0.6,0,6.6
"Ayer Shirley School District","06160000",2021,1603,9.7,3.6,21.5,43.3,27.7,3.8,2.9,11.2,75.5,0.7,0.3,5.6
"Barnstable","00200000",2021,4713,25.5,12.8,17.6,57.5,41.9,8.3,2.1,20.1,62.2,0.4,0.1,6.9
"Baystate Academy Charter Public School (District)","35020000",2021,469,24.7,8.7,20.7,80.4,73.1,27.5,0.9,59.3,10.7,0,0.4,1.3
"Bedford","00230000",2021,2615,18.4,4.5,17.2,30.9,10.6,6.4,19.6,7.5,60.7,0,0,5.7
"Belchertown","00240000",2021,2149,2.6,1.4,19.4,35.2,21.7,1.7,1.2,6,87,0.3,0.2,3.6
"Bellingham","00250000",2021,1984,5.5,2.4,21.3,40.2,24.8,2.1,3.1,7.1,84.5,0.1,0.4,2.8
"Belmont","00260000",2021,4420,26.9,7.9,12,29.3,8.3,3.2,21.4,3.8,63.1,0.1,0.1,8.3
"Benjamin Banneker Charter Public (District)","04200000",2021,344,28.5,4.4,13.1,63.4,56.1,77.9,1.7,11.9,2.6,0.3,0.6,4.9
"Benjamin Franklin Classical Charter Public (District)","04470000",2021,776,21.4,7.1,12,31.2,14.6,3,19.2,4.8,68.2,0.6,0.1,4.1
"Berkley","00270000",2021,864,1,1,15,31.6,21.3,0.8,0.5,2.4,91.8,0.1,0.1,4.3
"Berkshire Arts and Technology Charter Public (District)","04140000",2021,372,1.3,1.3,20.2,59.9,49.5,12.6,2.4,12.4,66.7,0.3,0,5.6
"Berkshire Hills","06180000",2021,1164,9.7,4.4,18.2,44.2,33.8,1.5,3,11.1,78.2,0.2,0.3,5.8
"Berlin-Boylston","06200000",2021,1046,12.5,2.1,16.2,28.2,14.1,1.4,4.5,7.1,83,0.3,0.1,3.6
"Beverly","00300000",2021,4633,9.8,4.2,19.4,41.2,28.3,3.6,2.5,15,74.8,0.1,0,3.9
"Billerica","00310000",2021,4569,11.1,1.7,20.2,36.7,21.1,5.4,9.2,7.9,74.1,0.1,0.1,3.3
"Blackstone Valley Regional Vocational Technical","08050000",2021,1231,0.6,0.4,10.6,19.3,10.4,1.2,1.9,7.7,86.7,0,0.1,2.4
"Blackstone-Millville","06220000",2021,1565,6.6,1.7,17.9,40.8,27.3,1.7,0.8,8.5,84.7,0,0,4.3
"Blue Hills Regional Vocational Technical","08060000",2021,890,7.4,1.5,26.9,53.1,31.8,22.1,2.1,15.3,54.4,0.7,0,5.4
"Boston","00350000",2021,48112,48.1,29.2,21.5,78.2,63,29.3,9.1,42.4,15.3,0.3,0.2,3.4
"Boston Collegiate Charter (District)","04490000",2021,723,12.7,4.4,15.9,52.6,38.7,34.7,1.8,17.4,42.6,0.1,0.1,3.2
"Boston Day and Evening Academy Charter (District)","04240000",2021,356,36.8,16,38.1,84,71.3,47.2,0.8,45.8,3.9,0.6,0,1.7
"Boston Green Academy Horace Mann Charter School (District)","04110000",2021,509,36.3,16.9,33.2,83.3,72.1,44.6,1.8,43.6,6.5,0.2,0.4,2.9
"Boston Preparatory Charter Public (District)","04160000",2021,671,33.8,19.2,20.3,79.1,60.4,67.5,0.4,27.9,1,0,0.1,3
"Boston Renaissance Charter Public (District)","04810000",2021,943,26.6,11.6,10.6,70.8,62.2,60.2,0.1,34.3,1.6,0.2,0,3.6
"Bourne","00360000",2021,1650,1.9,1,18.3,41.7,30.7,1.8,1.9,5.4,85.8,1.2,0,4
"Boxford","00380000",2021,679,1.6,1.3,18.9,25.1,7.4,0.3,3.5,3.2,87.8,0,0,5.2
"Braintree","00400000",2021,5456,19.8,6.1,19.9,42,21.9,5.2,23.5,4.9,64.1,0.1,0.1,2
